"玩家名","SteamID","IP","地区","运营商","登录次数","首次登录","最后登录","来源日志"
"呜哇","steam_76561198719620360","129.28.125.105","中国 / 四川 / 成都","Shenzhen Tencent Computer Systems Company Limited","1","2026-08-05 20:29:03","2026-08-05 20:29:03","05.08 20.21.35.log"
"小罗先生","steam_76561199593855163","120.219.81.247","中国 / 河南 / 郑州市","China Mobile communications corporation","2","2026-08-05 19:46:06","2026-08-05 20:24:10","05.08 19.29.54.log; 05.08 20.21.35.log"
"小罗先生","steam_76561199593855163","223.91.24.96","中国 / 河南 / 管城","China Mobile communications corporation","47","2026-08-05 20:54:45","2026-08-06 04:59:21","05.08 20.21.35.log; 06.08 00.00.48.log"
"小罗先生","steam_76561199593855163","39.148.58.253","中国 / 河南 / 管城","China Mobile","1","2026-08-05 20:49:41","2026-08-05 20:49:41","05.08 20.21.35.log"
"烟火","steam_76561198309753941","123.149.178.116","中国 / 河南 / 管城","Chinanet","1","2026-08-06 00:13:56","2026-08-06 00:13:56","06.08 00.00.48.log"
"一害虫一","steam_76561198110292675","111.172.141.180","中国 / 湖北 / Shizishan","Chinanet","15","2026-08-05 19:35:23","2026-08-06 02:40:29","05.08 19.29.54.log; 05.08 20.21.35.log; 06.08 00.00.48.log"
"愚昧","steam_76561199021182687","117.150.152.76","中国 / 湖北 / 武汉","China Mobile communications corporation","3","2026-08-05 19:35:23","2026-08-05 22:10:33","05.08 19.29.54.log; 05.08 20.21.35.log"
"月玥","steam_76561199035586163","8.134.166.82","中国 / 广东 / 广州市","Hangzhou Alibaba Advertising Co., Ltd.","1","2026-08-05 21:31:21","2026-08-05 21:31:21","05.08 20.21.35.log"
"只有一个三","steam_76561199337482426","223.65.229.243","中国 / 江苏 / 南京","China Mobile communications corporation","1","2026-08-06 08:57:27","2026-08-06 08:57:27","06.08 00.00.48.log"
"只有一个三","steam_76561199337482426","36.155.145.50","中国 / 江苏 / 南京","China Mobile Communications Corporation","3","2026-08-05 19:36:10","2026-08-06 00:01:50","05.08 19.29.54.log; 05.08 20.21.35.log; 06.08 00.00.48.log"
